Cod	Denumire
342307	instructor speologie
342306	instructor salvaspeo
342305	instructor educatie fizica
342304	instructor de aerobic-fitness
342303	antrenor de fitness
342302	instructor de fitness
342301	animator sportiv
342220	antrenor national
342219	steward sportiv
342218	ofiter de control doping (studii medii)
342217	organizator evenimente sportive
342216	arbitru de fotbal
342215	instructor educatie acvatica
342214	monitor de schi, snow-board si sporturi de alunecare pe zapada
342213	supraveghetor în poligonul de tir
342212	instructor în poligonul de tir
342211	oficial sportiv acreditat
342210	impresar sportiv
342209	preparator sportiv
342208	arbitru judecator sportiv
342207	antrenor coordonator
342206	instructor (monitor) schi/calarie/golf/tenis/înot/sporturi extreme
342205	instructor arte martiale
342204	antrenor de fotbal profesionist
342203	secretar federatie
342202	instructor sportiv
342201	antrenor
342105	sportiv de performanta
342104	sportiv de înalta performanta
342103	jucator de rugbi
342102	sportiv profesionist în alte discipline sportive
342101	fotbalist profesionist
341905	mediator scolar
341904	sef atelier scoala
341903	secretar scoala
341902	pedagog scolar
341901	maistru instructor
341601	instructor scolar auto
341502	educator puericultor
341501	educatoare
341402	institutor
341401	învatator
341303	predicator
341302	calugarita
341301	calugar
341206	specialist în economia sociala
341205	lucrator de tineret
341204	facilitator de dezvoltare comunitara
341203	lucrator social pentru persoane cu probleme de dependenta
341202	pedagog social
341201	tehnician asistenta sociala
341116	ofiter antifrauda financiar-bancara (studii medii)
341115	grefier registrator
341114	grefier arhivar
341113	asistent registrator
341112	secretar dactilograf laborator expertize criminalistice
341111	grefier documentarist
341110	grefier statistician
341109	expert tehnic judiciar
341108	arhivar notariat
341107	executor judecatoresc (tribunal, judecatorie)
341106	functionar în activitati comerciale, administrative si preturi
341105	tehnician criminalist
341104	secretar notariat
341103	grefier
341101	agent procedural
335904	comisar
335903	inspector salarii
335902	inspector preturi
335901	inspector metrolog
335504	detectiv particular
335503	anchetator politie
335502	detectiv
335501	inspector de politie
335406	expert
335405	inspector tehnic
335404	inspector de stat
335403	inspector pentru acordarea de permise, licente sau autorizatii
335402	referent pensii, asigurari sociale si asistenta sociala
335401	inspector pensii, asigurari sociale si asistenta sociala
335203	perceptor
335202	operator rol
335201	inspector taxe si impozite
335107	inspector de trafic rutier (studii medii)
335106	controlor vamal, controlor pentru datoria vamala, agent vamal (studii superioare)
335105	expert/inspector vamal
335104	referent vamal (studii medii)
335103	referent TIR si tranzite (studii medii)
335102	revizor vamal
335101	controlor vamal, controlor pentru datoria vamala studii medii)
334401	registrator medical
334304	asistent de cabinet
334303	asistent manager
334302	secretar asistent director
334301	secretar administrativ
334201	secretar procuratura
333913	agent de nava
333912	operator vânzari prin telefon
333911	referent comert exterior
333910	operator de interviu
333909	organizator spectacole
333908	impresar artistic
333907	agent servicii client
333906	asistent relatii publice si comunicare (studii medii)
333905	manager sportiv
333904	impresar teatru
333903	impresar muzical
333902	agent literar
333901	agent reclama publicitara
333401	agent imobiliar (broker imobiliar)
333311	tehnician resurse umane
333310	tehnician calificare gestiune competente
333309	instructor/preparator formare
333308	tehnician reconversie personal
333307	tehnician mobilitate personal
333306	analist resurse umane
333305	agent ocupare
333304	inspector/referent resurse umane
333303	agent evidenta si plata a ajutorului de somaj
333302	agent orientare profesionala a somerilor/agent informare privind cariera
333301	agent repartizare a fortei de munca
333107	agent maritim
333106	agent tranzit
333105	declarant vamal
333104	agent cumparari
333103	administrator cumparari
333102	receptioner contractari-achizitii
333101	agent contractari si achizitii (broker marfuri)
332403	agent vânzari standarde si produse conexe
332402	mercantizor
332401	agent comercial
332301	specialist în achizitii
332204	consilier vânzari bijuterii si ceasuri
332203	agent de vânzari
332202	reprezentant comercial
332201	reprezentant tehnic
332102	broker în asigurari
332101	agent de asigurare
331503	evaluator tehnic daune auto
331501	estimator licitatii
331405	tehnician planificare/urmarire sinteze
331404	actuar
331403	statistician medical
331402	statistician
331401	referent statistician
331309	referent
331308	merceolog
331307	secretar economic (studii medii)
331306	contabil bugetar
331305	revizor gestiune
331304	planificator
331303	tehnician merceolog
331302	contabil
331301	calculator devize
331202	ofiter operatiuni financiar-bancare
331201	analist tehnic piete financiare
331108	agent pentru servicii de investitii financiare
331107	agent marketing pensii private
331106	teleoperator financiar-bancar
331105	agent de vânzari directe (produse financiar-bancare)
331104	broker bursa de marfuri
331103	intermediar în activitatea financiara si comerciala (broker)
331102	agent de schimb
331101	cambist (broker valori)
325910	asistent medical radiologie          
325909	asistent medical balneofizioterapie, balneofiziokinetoterapie ?i recuperare
325908	asistent medico-social   
325907	asistent medical igien? ?i s?n?tate public?     
325906	asistent medical obstetric?-ginecologie 
325905	asistent medical de pediatrie  
325904	asistent medical laborator     
325903	paramedic
325902	asistent medical nutri?ie dietetic?    
325901	asistent medical generalist      
325802	ambulantier
325801	brancardier
325728	manager dezvoltare durabila pentru mobila sau componente
325727	specialist securitate si sanatate în munca în domeniul servicii de întretinere si reparatii autovehicule (studii medii)
325726	coordonator în materie de securitate si sanatate în munca pentru logistica (studii medii)
325725	operator control nedistructiv pentru examinare vizuala
325724	coordonator în materie de securitate si sanatate în munca (studii medii)
325723	inspector în domeniul securitatii si sanatatii în munca
325722	tehnician conditii de munca si securitate
325721	tehnician în securitate si sanatate în munca
325720	inspector protectie sociala
325719	inspector sanitar
325718	manager de responsabilitate sociala
325717	responsabil al managementului responsabilitatii sociale
325716	auditor responsabilitate sociala
325715	manager în domeniul sigurantei alimentare
325714	auditor în domeniul sigurantei alimentare
325713	specialist în managementul deseurilor
325712	inspector protectia mediului
325711	auditor de sistem de management pentru sanatate si securitate ocupationala
325710	responsabil de mediu
325709	manager al sistemului de management securitate si sanatate în munca
325708	manager al sistemului de management al riscului
325707	asistent standardizare
325706	inspector pentru conformare ecologica
325705	monitor mediul înconjurator
325704	expert/specialist standardizare
325703	auditor de mediu
325702	manager al sistemelor de management de mediu
325701	manager al sistemelor de management al calitatii
325603	asistent medical consiliere HIV/SIDA
325602	tehnician sanitar
325601	oficiant medical
325504	reflexoterapeut
325503	ergoterapeut
325502	asistent medical fizioterapie
325501	maseur
325402	optometrist (studii medii)
325401	optician medical
325301	asistent medical comunitar
325103	asistent de medicina dentara
325102	asistent de profilaxie stomatologica
325101	tehnician dentar
324004	tehnician veterinar
324003	autopsier la ecarisaj
324002	asistent veterinar
324001	agent veterinar
322201	asistenta puericultoare
322102	sora medicala
322101	laborant în ocrotirea sanatatii
321502	evaluator asigurari
321403	tehnician evaluare, recomandare, furnizare si adaptare fotolii rulante
321402	tehnician acustician-audioprotezist
321401	tehnician protezist-ortezist
321303	asistent medical de farmacie 
321302	laborant farmacie
321301	asistent farmacist
321201	autopsier
321102	tehnician aparate electromedicale
321101	maistru aparate electromedicale
315517	operator de handling combustibil
315516	tehnician în serviciile de trafic aerian
315515	sef tura protectia navigatiei aeriene (comunicatii, navigatie, supraveghere)
315514	maistru protectia navigatiei aeriene (comunicatii, navigatie, supraveghere)
315513	tehnician protectia navigatiei aeriene (comunicatii, navigatie, supraveghere)
315512	operator dispecerat operational de supraveghere în serviciile de trafic aerian
315511	referent/inspector în serviciile de trafic aerian
315510	dispecer operatiuni de zbor
315509	agent de securitate aeroportuara
315508	inspector siguranta operationala
315507	operator de handling
315506	tehnician securitate aeriana
315505	operator radionavigant instructor aviatie
315504	operator radionavigant aviatie
315503	operator instalatii control antiterorist/antideturnare
315502	masinist agregate aerodrom
315501	agent salvare aeroportuara si instalatii de stins incendii
315420	navigator instructor informare
315419	controlor trafic aerian (simulator trafic aerian)
315418	sef tura telecomunicatii aeronautice aviatie civila
315417	operator/specialist/instructor telecomunicatii aeronautice aviatie civila
315416	navigator informare
315415	controlor trafic aerian informare
315414	controlor trafic aerian dirijare radar
315413	controlor trafic aerian dirijare nonradar
315412	operator radiotelecomunicatii aeronautice
315411	operator radar
315410	navigator sol
315409	navigator instructor dirijare radar si nonradar
315408	navigator dirijare zbor
315407	navigator dirijare nonradar
315406	navigator aviatia civila
315405	navigator dirijare radar
315404	dispecer sol
315403	controlor trafic aviatia civila
315402	controlor sol
315401	controlor dirijare nonradar
315317	tehnician aviatie
315316	maistru aviatie
315315	mecanic navigant instructor
315314	instructor parasutism
315313	pilot instructor aeronave
315312	pilot parasutism încercator
315311	parasutist încercator
315310	parasutist receptie si control
315309	pilot receptie si control aeronave
315308	pilot încercare
315307	pilot comandant avion
315306	pilot aeronave
315305	mecanic navigant aviatie
315304	inspector pilotaj
315303	copilot
315302	comandant însotitor de bord
315301	comandant detasament zbor
315212	ofiter de punte maritim aspirant/ofiter mecanic maritim aspirant/ofiter electrician maritim aspirant
315211	ofiter de punte maritim
315210	pilot de port maritim aspirant/pilot de Dunare aspirant
315209	dragor maritim/fluvial
315208	pilot de mare larga, pilot de port maritim
315207	sef echipaj maritim/fluvial
315206	pilot de Dunare maritima
315205	ofiter de punte fluvial/portuar
315204	ofiter port
315203	ofiter intendent
315202	capitan port
315201	capitan fluvial
315107	ajutor ofiter mecanic fluvial
315106	ofiter mecanic maritim
315105	ofiter electrician maritim
315103	ofiter electrician fluvial/portuar
315102	ofiter RTG
315101	ofiter ajutor fluvial/portuar
314309	maistru silvic
314308	tehnician proiectant în reconstructie ecologica
314307	tehnician amenajist
314306	tehnician cadastru forestier
314305	tehnician în reconstructia ecologica
314304	tehnician silvic - cercetare
314303	maistru în industrializarea lemnului
314302	tehnician proiectant în industrializarea lemnului
314301	tehnician în industrializarea lemnului
314205	operator în ferme ecologice mixte
314204	operator de însamântari artificiale la animale
314203	tehnician pedolog
314202	tehnician zootehnist - cercetare
314201	tehnician agronom - cercetare
314107	evaluator si auditor de mediu
314106	tehnician în protectia mediului (tehnician ecolog)
314105	tehnician în biologie
314104	tehnician în serologie
314103	tehnician în hematologie
314102	tehnician în biochimie
314101	tehnician în bacteriologie
313908	operator echipamente de termografie
313907	tehnician cotator calitate
313906	tehnician analist calitate
313905	tehnician asigurarea calitatii
313904	controlor de conformitate în industria de masini
313903	tehnician în industria celulozei si hârtiei
313902	tehnician-operator la roboti industriali
313901	maistru-operator la roboti industriali
313404	operator instalatii îmbuteliere gaz petrol lichefiat
313403	distilator la prelucrarea titeiului
313402	rafinor
313401	operator chimist la chimizarea metanului
313206	operator masini refrigeratoare (conservare prin frig)
313205	operator la tratarea apei tehnologice
313204	masinist la conditionarea aerului
313203	operator circuite retea apa
313202	operator hidraulic în alimentarile cu apa
313201	operator la instalatii de incinerare
313113	operator surse regenerabile de energie
313112	operator curatare chimica la schimbatoarele de caldura cu placi
313111	automatist pentru supraveghere si întretinere cazane
313110	operator centrala termica
313109	operator punct termic
313108	masinist la centrale diesel
313107	masinist la instalatiile de turbine hidraulice
313106	masinist la instalatiile hidrotehnice din centrale electrice
313105	operator la camera de comanda termica
313104	operator la instalatiile de turbine cu abur sau gaze
313103	operator la instalatiile de cazane din centrale electrice
313102	masinist la instalatiile din centrale electrice
313101	operator la instalatiile din centrale electrice
312203	controlor de calitate la protejari metalice
312202	controlor calitate pentru executia elementelor la armament si munitie
312201	controlor calitate dupa efectuarea probelor la armament si munitie
312103	salvator minier
312102	controlor de productie la minele de aur nativ
312101	masurator de gaze, temperatura si radiatii
311942	laborant pentru fabrica de ciment
311941	operator responsabil cu supravegherea tehnica a instalatiilor
311940	operator control nedistructiv pentru verificarea etanseitatii
311939	operator control nedistructiv cu curenti turbionari
311938	operator control nedistructiv cu particule magnetice
311937	operator control nedistructiv cu lichide penetrante
311936	operator control nedistructiv cu ultrasunete
311935	operator control nedistructiv cu radiatii penetrante
311934	operator control nedistructiv
311933	tehnolog alimentatie publica
311932	maistru în industria alimentara
311931	tehnician proiectant în industria alimentara
311930	tehnician în morarit si panificatie
311929	tehnician în industria carnii, laptelui si conservelor
311928	tehnician în industria alimentara fermentativa
311927	tehnician în industria alimentara extractiva
311926	tehnician laborant analize produse alimentare
311925	tehnician în industria alimentara
311924	tehnician frigotehnist
311923	maistru frigotehnist
311922	maistru în industria sticlei si ceramicii
311921	tehnician în industria sticlei si ceramicii
311920	tehnician platou
311919	sef formatie industria confectiilor îmbracaminte
311918	laborant în industriile textila, pielarie
311917	tehnician proiectant textile, pielarie
311916	tehnician în industria textila
311915	tehnician în industria pielariei
311914	tehnician în industria încaltamintei
311913	tehnician în industria confectiilor si tricotajelor
311912	tehnician în industria confectiilor din piele si înlocuitori
311911	maistru în industriile textila, pielarie
311910	tehnician gestiune stoc
311909	tehnician gestiunea productiei
311908	tehnician gestiune salariala
311907	tehnician pret de revenire/costuri
311906	tehnician programare, lansare, urmarirea productiei
311905	tehnician pret de cost
311904	tehnician normare, salarizare, organizare
311903	paginator tipograf
311902	maistru tipograf
311901	maistru în industria celulozei si hârtiei
311808	tehnician cadastru
311807	tehnician proiectant
311806	trasator optic
311805	trasator naval - desenator
311804	topograf
311803	desenator
311802	trasator
311801	desenator tehnic
311713	probator hidraulic piese turnate
311712	maistru termist-tratamentist
311711	maistru mineralurg
311710	tehnician mineralurg
311709	tehnician proiectant metalurg
311708	tehnician proiectant minier
311707	tehnician minier
311706	tehnician metalurgie
311705	maistru termotehnist
311704	maistru presator metale
311703	maistru minier
311702	maistru metalurgie
311701	laborant structura macroscopica si microscopica
311609	maistru la fabricarea munitiei
311608	laborant petrochimist
311607	tehnician petrolist chimie industriala
311606	laborant apa potabila
311605	maistru petrolist/industria chimica
311604	laborant petrolist/industria chimica
311603	laborant control dozimetrie
311602	laborant apa si apa grea
311601	decontaminator
311536	inspector ISCIR
311535	inspector cu supravegherea si verificarea tehnica a instalatiilor
311534	maistru fabricarea armamentului
311533	tehnician/tehnician responsabil afacere, metode organizarea si masurarea muncii
311532	tehnician/tehnician responsabil afacere, metode logistica
311531	tehnician/tehnician responsabil afacere, metode pregatire de industrializare
311530	tehnician/tehnician responsabil afacere, metode gestiune mijloace si utilaje
311529	tehnician/tehnician responsabil afacere, metode implantare
311528	tehnician reglementari/omologari oficiale
311527	tehnician prestatii vehicule
311526	tehnician documentatie studii
311525	tehnician încercari componente vehicule/grup motopropulsor/optimizare energetica/sisteme de masurare
311524	tehnician mentenanta mecanica echipamente industriale
311523	maistru mecanic masini si utilaje pentru constructii
311522	tehnician tehnolog mecanic
311521	tehnician sudura
311520	tehnician prelucrari mecanice
311519	tehnician mecanic
311518	tehnician masini si utilaje
311517	tehnician instalatii de bord (avion)
311516	tehnician constructii navale
311515	maistru sudura
311514	maistru sculer-matriter
311513	maistru prelucrari mecanice
311512	maistru montaj
311511	maistru mecanica fina
311510	maistru mecanica agricola
311509	maistru mecanic auto
311508	maistru mecanic
311507	mecanic pentru întretinerea aparatelor de lansare la zbor
311506	tehnician proiectant mecanic
311505	maistru lacatus mecanic
311504	maistru lacatus, constructii metalice
311503	maistru întretinere si reparatii masini-unelte, utilitati, service, prototipuri
311502	maistru instalatii navale
311501	maistru cazangerie
311403	tehnician proiectant electronica
311402	tehnician electronica
311401	maistru electronica
311310	sef/sef adjunct tura statie electrica (studii medii)
311309	tehnician mentenanta electromecanica - automatica echipamente industriale
311308	maistru electrician în constructii
311307	tehnician proiectant energetician/electrician
311306	tehnician energetician/electrician
311305	tehnician electromecanic
311304	tehnician electroenergetician, termoenergetician
311303	maistru energetician/electrician
311302	maistru electromecanic
311301	dispecer gestiune uraniu
311217	tehnician atasamentist
311216	tehnician devizier
311215	tehnician devize si masuratori în constructii
311214	tehnician proiectant în industria materialelor de constructii
311213	maistru în industria materialelor de constructii
311212	tehnician în industria materialelor de constructii
311211	tehnician laborant pentru lucrari de drumuri si poduri
311210	diriginte santier
311209	tehnician instalatii în constructii
311208	maistru instalator în constructii
311207	tehnician proiectant în constructii
311206	tehnician topometrist
311205	tehnician hidrotehnic
311204	tehnician hidroamelioratii
311203	tehnician constructor
311202	maistru normator
311201	maistru constructii civile, industriale si agricole
311120	tehnician în fizic?              
311119	operator specialist curatare chimica la schimbatoarele de caldura cu placi
311118	meteorolog aeronautic tehnician
311117	operator meteorolog
311116	asistent fizica si chimie
311115	tehnician metrolog
311114	metrolog
311113	laborant operator centrale termice
311112	tehnician hidrogeolog
311111	tehnician hidrolog
311110	prospector - prospectii geologice, geofizice
311109	tehnician hidrometru
311108	tehnician geolog
311107	tehnician meteorolog
311106	laborant tehnica nucleara
311105	laborant determinari geologice si geotehnice
311104	tehnician determinari fizico-mecanice
311103	laborant determinari fizico-mecanice
311102	tehnician chimist
311101	laborant chimist
265908	dresor
265907	figurant
265906	cascador
265905	trapezist
265904	hipnotizator
265903	magician
265902	clovn
265901	acrobat
265602	prezentator (crainic) televiziune
265601	prezentator (crainic) radio
265503	artist circ
265502	actor mânuitor de papusi
265501	actor
265445	maestru magician
265444	producator teren (studii medii)
265443	producator teren (studii superioare)
265442	producator TV
265441	producator delegat TV
265440	secretar platou
265439	regizor scena
265438	regizor culise
265437	producator delegat pentru teatru
265436	videojurnalist (studii superioare)
265435	asistent scenograf
265434	scenograf
265433	organizator productie (studii superioare)
265432	director de creatie
265431	editor coordonator programe TV
265430	producator audiovideo
265429	asistent productie film
265428	coordonator productie film
265427	director productie film
265426	animator film de animatie (studii superioare)
265425	redactor prezentator de televiziune
265424	producator delegat evenimente de marketing
265423	mediaplanner
265422	copywriter publicitate (studii superioare)
265421	referent de specialitate selectie programe TV
265420	director imagine
265419	editor RTV (stiri)
265418	producator RTV (stiri)
265417	maestru artist circ
265416	sufleur teatru
265415	secretar sef productie film
265414	regizor tehnic
265413	regizor sunet
265412	regizor studio
265411	regizor emisie
265410	regizor artistic
265409	realizator emisiuni RTV
265408	producator delegat film
265407	stilizator film de desene animate (studii superioare)
265406	intermediarist film de desene animate (studii superioare)
265405	lector scenarii
265404	instructor retea cinematografica
265403	instructor film
265402	corector transmisie
265401	consultant artistic
265308	instructor de dans
265307	dansator
265306	maestru dans
265305	solist balet
265304	maestru de balet
265303	maestru studii de balet
265302	coregraf
265301	balerin
265234	instrumentist (studii medii)
265233	maestru de ceremonii
265232	video-jockey
265231	disc-jockey
265230	instrumentist muzicant
265229	cântaret
265228	regizor muzical
265227	specialist orga
265226	maestru lutier
265225	maestru acordor pian clavecin
265224	corist opera
265223	artist liric opera
265222	maestru corepetitor
265221	dirijor cor
265220	solist concertist
265219	artist instrumentist
265218	specialist instrumente de suflat
265217	copiator note muzicale
265216	sufleur opera
265215	solist vocal
265214	solist instrumentist
265213	sef orchestra
265212	secretar muzical
265211	referent muzical
265210	maestru cor
265209	instrumentist
265208	maestru studii canto
265207	ilustrator muzical
265206	dirijor
265205	corist
265204	corepetitor
265203	concert maestru
265202	artist liric
265201	acompaniator
265110	restaurator tablouri
265109	sculptor papusi
265108	sculptor
265107	pictor scenograf
265106	pictor
265105	machetist
265104	grafician
265103	desenator film animatie
265102	artist plastic
265101	caricaturist (studii superioare)
264315	asistent de cercetare în filologie
264314	cercetator în filologie
264313	asistent de cercetare în lingvistica
264312	cercetator în lingvistica
264311	translator emisie
264310	terminolog
264309	revizor lingvist
264308	grafolog
264307	translator
264306	traducator (studii superioare)
264305	secretar literar
264304	referent literar
264303	interpret relatii diplomatice
264302	interpret
264301	filolog
264226	jurnalist TV senior
264225	jurnalist TV (studii superioare)
264224	jurnalist TV (studii medii)
264223	redactor rubrica
264222	comentator radio TV
264221	critic muzical
264220	critic literar
264219	ziarist
264218	tehnoredactor
264217	sef agentie publicitate
264216	secretar responsabil de agentie
264215	secretar de redactie (studii superioare)
264214	secretar de emisie (studii superioare)
264213	reporter operator
264212	reporter (studii superioare)
264211	redactor
264210	publicist comentator
264209	lector presa/editura
264208	fotoreporter
264207	editorialist
264206	critic de arta
264205	corespondent presa
264204	corespondent radio
264203	corespondent special (tara si strainatate)
264202	corector (studii superioare)
264201	comentator publicist
264102	scriitor
264101	poet
263636	vicar
263635	vestitor
263634	treibar
263633	staret - stareta
263632	secretar culte
263631	rabin
263630	provicar
263629	protopop
263628	presedinte culte
263627	preot
263626	patriarh
263625	pastor
263624	organist
263623	muftiu
263622	muezin
263621	mitropolit
263620	melamed
263619	majghian
263618	inspector culte
263617	imam
263616	hatip
263615	harmonist
263614	haham
263613	exarh
263612	episcop
263611	diacon
263610	conducator arhiepiscopal
263609	consilier culte
263608	cântaret bisericesc
263607	chevrasames
263606	cardinal
263605	capelan
263604	cantor
263603	arhondar
263602	arhiereu-vicar
263601	arhiepiscop
263512	inspector social
263511	asistent de cercetare în asistenta sociala
263510	cercetator în asistenta sociala
263509	asistent pentru îngrijirea persoanelor vârstnice
263508	instructor-educator pentru activitati de resocializare
263507	specialist în angajare asistata
263506	specialist în evaluarea vocationala a persoanelor cu dizabilitati
263505	asistent social cu competenta în sanatatea mintala
263504	art-terapeut
263503	ofiter control doping
263502	consilier în domeniul adictiilor
263501	asistent social
263419	terapeut ocupational
263418	asistent de cercetare în psihopedagogie speciala
263417	cercetator în psihopedagogie speciala
263416	asistent de cercetare în psihologie
263415	cercetator în psihologie
263414	psiholog scolar
263413	expert poligraf
263412	psihopedagog
263410	psiholog în specialitatea psihologie judiciara - evaluarea comportamentului simulat prin tehnica poligrafului
263409	psiholog în specialitatea psihologie aplicata în domeniul securitatii nationale
263408	psiholog în specialitatea psihopedagogie speciala
263407	psiholog în specialitatea psihologie educationala, consiliere scolara si vocationala
263406	psiholog în specialitatea psihologia aplicata în servicii
263405	psiholog în specialitatea psihologia transporturilor
263404	psiholog în specialitatea psihologia muncii si organizationala
263403	psiholog în specialitatea psihoterapie
263402	psiholog în specialitatea consiliere psihologica
263401	psiholog în specialitatea psihologie clinica
263310	asistent de cercetare în stiintele politice
263309	cercetator în stiintele politice
263308	asistent de cercetare în istorie
263307	cercetator în istorie
263306	asistent de cercetare în filozofie
263305	cercetator în filozofie
263304	politolog
263303	istoriograf
263302	istoric
263301	filozof
263220	promotor local
263219	expert localizare
263218	manager consortiu turistic
263217	asistent de cercetare în etnologie
263216	cercetator în etnologie
263215	asistent de cercetare în arheologie
263214	cercetator în arheologie
263213	asistent de cercetare în geografie
263212	cercetator în geografie
263211	asistent de cercetare în antropologie
263210	cercetator în antropologie
263209	asistent de cercetare în sociologie
263208	cercetator în sociologie
263207	cercetator de dezvoltare comunitara
263206	arheolog
263205	analist teritorial
263204	analist în turism
263203	analist de mediu
263202	geograf
263201	sociolog
263126	secretar economic (studii superioare)
263125	asistent de cercetare economist în gestiunea economica
263124	cercetator economist în gestiunea economica
263123	asistent de cercetare economist în relatii economice internationale
263122	cercetator economist în relatii economice internationale
263121	asistent de cercetare economist în marketing
263120	cercetator economist în marketing
263119	asistent de cercetare economist în economie agroalimentara
263118	cercetator economist în economie agroalimentara
263117	asistent de cercetare economist în economia generala
263116	cercetator economist în economia generala
263115	asistent de cercetare economist în economia mediului
263114	cercetator economist în economia mediului
263113	asistent de cercetare economist în management
263112	cercetator economist în management
263111	administrator financiar (patrimoniu) (studii superioare)
263110	inspector de concurenta
263109	inginer economist
263108	tehnician economist
263107	consultant în management
263106	consilier/expert/inspector/referent/economist în gestiunea economica
263105	consilier/expert/inspector/referent/economist în relatii economice internationale
263104	consilier/expert/inspector/referent/economist în comert si marketing
263103	consilier/expert/inspector/referent/economist în economia mediului
263102	consilier/expert/inspector/referent/economist în economie generala
263101	consilier/expert/inspector/referent/economist în management
262207	referent de specialitate asezamânt cultural
262206	bibliotecar arhivist
262205	lector carte
262204	referent difuzare carte
262203	documentarist (studii superioare)
262202	bibliotecar (studii superioare)
262201	bibliograf
262113	conservator/restaurator vitralii si componente artistice din sticla la monumente istorice
262112	conservator/restaurator componente artistice din piatra, ceramica sau stucatura la monumente istorice
262111	conservator/restaurator componente artistice din metal la monumente istorice
262110	conservator/restaurator componente artistice din lemn la monumente istorice
262109	conservator/restaurator pictura pe lemn
262108	conservator/restaurator pictura murala
262107	restaurator bunuri culturale (studii superioare)
262106	restaurator arhiva (studii superioare)
262105	conservator arhiva (studii superioare)
262104	restaurator opere de arta si monumente istorice (studii superioare)
262103	muzeograf
262102	conservator opere de arta si monumente istorice (studii superioare)
262101	arhivist
261923	asistent registrator principal
261922	inspector de probatiune
261921	consilier de probatiune
261920	expert prevenire si combatere a coruptiei
261919	specialist proprietate intelectuala
261918	consilier proprietate industriala autorizat
261917	executor bancar
261916	asistent de cercetare în domeniul stiintelor juridice
261915	cercetator în domeniul stiintelor juridice
261914	revizor jurist
261913	registrator carte funciara
261912	analist armonizare legislativa
261911	expert armonizare legislativa
261910	consilier armonizare legislativa
261906	notar
261903	expert jurist
261902	expert criminalist
261901	executor judecatoresc
261206	personal de specialitate juridica asimilat judecatorilor si procurorilor
261205	asistent judiciar
261204	inspector judiciar
261203	magistrat-asistent
261202	judecator
261201	procuror
261103	consilier juridic
261102	jurisconsult
261101	avocat
252901	specialist SIG/IT
252302	administrator de retea de telefonie VOIP
252301	administrator de retea de calculatoare
252201	administrator sistem de securitate bancara
252101	administrator baze de date
251901	consultant în informatica
251402	specialist în proceduri si instrumente de securitate a sistemelor informatice
251401	specialist în domeniul proiectarii asistate pe calculator
251304	specialist în e-Sanatate
251303	specialist în e-Media
251302	specialist în e-Guvernare
251301	specialist în e-Afaceri
251206	manager proiect informatic
251205	inginer de sistem software
251204	programator de sistem informatic
251203	inginer de sistem în informatica
251202	programator
251201	analist
251101	proiectant sisteme informatice
243302	reprezentant medical
243301	analist cumparari/consultant furnizori
243221	arbitru
243220	specialist în activitatea de lobby
243219	asistent comercial
243218	corespondent comercial
243217	asistent director/responsabil de functiune (studii superioare)
243216	analist servicii client
243215	specialist garantii auto
243214	curier diplomatic
243213	expert relatii externe
243212	specialist relatii sociale
243211	prezentator expozitii
243210	organizator târguri si expozitii
243209	organizator relatii
243208	organizator protocol
243207	brand manager
243206	purtator de cuvânt
243205	consultant cameral
243204	specialist protocol si ceremonial
243203	referent de specialitate marketing
243202	mediator
243201	specialist în relatii publice
243104	manager de produs
243103	specialist marketing
243102	organizator activitate turism (studii superioare)
243101	art director publicitate (studii medii)
242904	specialist educator în penitenciare           
242903	manager de responsabilitate sociala
242902	responsabil al managementului responsabilitatii sociale
242901	auditor responsabilitate sociala
242412	specialist în activitatea de coaching
242411	evaluator în sistemul formarii profesionale continue
242410	evaluator extern
242409	evaluator de evaluatori
242408	evaluator de furnizori si programe de formare
242407	administrator de formare
242406	manager de formare
242405	evaluator de competente profesionale
242404	inspector de specialitate formare, evaluare si selectie profesionala
242403	organizator/conceptor/consultant formare
242402	formator de formatori
242401	formator
242324	consilier pentru dezvoltare personala
242323	specialist în relatii de munca
242322	specialist în dezvoltare organizationala
242321	specialist în compensatii si beneficii
242320	specialist în recrutare
242319	specialist în formare
242318	consultant intern în resurse umane
242317	consultant în resurse umane
242316	consultant în standardizare
242315	consilier vocational
242314	specialist resurse umane
242313	specialist sisteme de calificare
242312	consultant conditii de munca
242311	consultant reconversie-mobilitate personal
242310	analist sisteme salarizare
242309	analist recrutare/integrare salariati
242308	analist piata muncii
242307	consultant în domeniul fortei de munca
242306	consilier orientare privind cariera
242305	referent de specialitate forta de munca si somaj
242304	expert în securitate si sanatate în munca
242303	inspector de specialitate forta de munca si somaj
242302	expert forta de munca si somaj
242301	consilier forta de munca si somaj
242230	expert în egalitate de sanse
242229	consilier dezvoltare locala si regionala
242228	auditor de securitate a aviatiei civile
242227	ofiter de legatura pentru securitatea infrastructurii critice nationale/europene
242226	inspector de stare civila
242225	consilier de stare civila
242224	analist de informatii
242223	investigator
242222	analist informatii de firma
242221	expert/specialist în parteneriat public-privat
242220	expert legislatia muncii
242219	expert aplicare legislatie armonizata în domeniul industriei si comertului
242218	administrator editura
242217	expert informatii pentru afaceri
242216	inspector de trafic rutier (studii superioare)
242215	referent relatii externe
242214	consilier afaceri europene
242213	expert accesare fonduri structurale si de coeziune europene
242212	agent consular
242211	administrator publicatii
242210	examinator de stat de specialitate
242209	inspector de integritate
242208	administrator public
242207	agent de dezvoltare
242206	reglementator
