Cod	Denumire
817235	miezuitor panele si placi celulare
817234	preparator PPF
817233	formator slefuitor produse stratificate
817232	presator produse stratificate
817231	frezor-îmbinator furnire tehnice
817230	fasonator-uscator furnire
817229	derulatorist
817228	decupator furnire
817227	desenator-însemnator cherestea
817226	fasonator cherestea
817225	taietor la ferastrau panglica
817224	gaterist la taiat busteni
817223	pregatitor PFL si hârtie pentru filme
817222	finisor la înnobilare PFL
817221	formator la înnobilare PFL
817220	presator la înnobilare PFL
817219	fasonator-sortator filme
817218	impregnator la înnobilare PFL
817217	formator PFL
817216	tratamentist PFL
817215	presator PFL
817214	filtrator-deshidratorist
817213	tocatorist-defibratorist
817212	formator finisor placi
817211	formator presator placi brute
817210	încleietor placi aglomerate
817209	pregatitor aschii
817208	pregatitor lemn aschietor
817207	aburitor pluta
817206	confectioner placi izolatoare
817205	masinist la masina de zdrobit si macinat pluta
817204	masinist la masina de taiat straifuri si dopuri din pluta
817203	confectioner colaci si centuri de salvare
817202	confectioner bastoane din pluta
817201	confectioner rondele din pluta
817108	confectioner produse igienico-sanitare
817107	finisor hârtie, carton, mucava
817106	masinist la deshidratare pasta hârtie
817105	confectioner tambur filigranare
817104	albitor pasta hârtie
817103	fierbator-spalator celuloza, hârtie
817102	preparator pasta
817101	pregatitor lemn, stuf, paie
816053	preparator sampanie
816052	preparator vermut
816051	preparator coniac
816050	operator la fabricarea amidonului si dextrinei
816049	distilator rachiuri naturale
816048	preparator rachiuri industriale si lichioruri
816047	preparator bauturi racoritoare
816046	operator la fabricarea glucozei
816045	fermentator otet
816044	vinificator-pivnicer
816043	operator la fabricarea spirtului si drojdiei de panificatie
816042	operator la fabricarea maltului
816041	operator la fabricarea berii
816040	operator la prepararea bauturilor alcoolice si racoritoare
816039	preparator halva
816038	operator la fermentarea tutunului si fabricarea produselor din tutun
816037	operator la conditionarea si prelucrarea plantelor medicinale
816036	preparator surogate cafea
816035	preparator de produse apicole
816034	conditioner miere
816033	operator la fabricarea zaharului
816032	operator la fabricarea conservelor din legume sau fructe
816031	operator la fabricarea uleiurilor vegetale
816030	preparator napolitane
816029	operator la fabricarea biscuitilor
816028	preparator înghetata
816027	operator la fabricarea produselor fainoase
816026	operator la prepararea produselor zaharoase
816025	decorticator crupe
816024	preparator extracte, arome si esente
816023	preparator mustar
816022	preparator boia de ardei
816021	operator la fabricarea nutreturilor combinate
816020	morar
816019	preparator conserve lapte si lactoza
816018	operator la fabricarea untului
816017	operator centru de racire lapte
816016	operator la prepararea produselor lactate
816015	operator la prepararea brânzeturilor
816014	matar
816013	preparator pepsina, cheag
816012	valorificator glande
816011	curatitor piei
816010	colector si preparator faina, sânge, carne, oase
816009	preparator ulei de copite
816008	colector si sortator par
816007	operator la fabricarea mezelurilor
816006	topitor grasimi comestibile si de uz industrial
816005	preparator faina din peste
816004	preparator peste, raci, broaste în cherhanale si oficii
816003	tripier
816002	operator la valorificarea subproduselor de abator
816001	operator la prepararea conservelor din carne, peste si în amestec legume si peste
815907	operator textile netesute
815906	finisor confectii industriale din blana
815905	pregatitor confectii industriale din blana
815904	cusator confectii industriale din blana
815903	operator la confectionarea industriala a articolelor de sport si protectie, din piele si înlocuitori
815902	croitor confectii industriale din blana
815901	operator la confectionarea industriala a palariilor
815608	finisor încaltaminte
815607	talpuitor industrial
815606	tragator fete pe calapod
815605	cusator piese din piele si înlocuitori
815604	pregatitor piese încaltaminte
815603	croitor-stantator piese încaltaminte
815602	operator la confectionarea industriala a articolelor din cauciuc si textile cauciucate
815601	operator la prepararea talpii de încaltaminte din fibre
815508	vopsitor îmbracaminte din blana
815507	operator sortator în industria pielariei
815506	operator argasitor
815505	operator finisor vegetal
815504	operator finisor mineral
815503	operator tabacitor vegetal
815502	operator tabacitor mineral argasitor
815501	operator cenuseritor
815430	operator universal - spalator textile si curatitor chimic
815429	presator axe la cilindrul de imprimat
815428	confectioner sabloane la imprimerie
815427	vaporizator la imprimerie
815426	naphtolator la imprimerie
815425	operator îngreunator matase naturala
815424	operator uscator textile
815423	operator taietor textile
815422	operator metrar-volator-dublator textile
815421	operator curatitor chimic
815420	operator tunsator textile
815419	operator scamosetor
815418	operator piuar
815417	operator fixator textile
815416	operator presator tesaturi textile (storcator textile)
815415	operator decator
815414	operator impregnator textile
815413	operator calandor-govrator textile
815412	operator apretor textile
815411	confectioner sabloane si cilindri de imprimat
815410	operator imprimeur textile
815409	operator vopsitor textile
815408	operator pregatitor chimicale în industria textila
815407	operator mercerizator textile
815406	operator fierbator textile
815405	operator albitor textile
815404	operator spalator textile
815403	operator degamator textile
815402	operator descleietor textile
815401	operator gazator textile
815309	taietor confectii
815308	spanuitor confectii
815307	pregatitor-lansator confectii
815306	rihtuitor confectii
815305	încadrator confectii
815304	operator la confectionarea industriala a manusilor din piele
815303	operator la confectionarea industriala a îmbracamintei din blana
815302	operator confectii îmbracaminte din piele si înlocuitori
815301	operator confectioner industrial îmbracaminte din tesaturi, tricotaje, materiale sintetice
815214	confectioner polizoare din pâsla
815213	pâslitor
815212	operator rasucitor fire
815211	operator batirator fire
815210	operator bobinator-dublator
815209	operator navaditor, lipitor, înnodator fire
815208	operator încheietor fire
815207	operator la masini de urzit
815206	operator canelator
815205	operator sculuitor
815204	operator la masini de tricotat circular
815203	snuruitor Jaqard
815202	operator la deservirea razboaielor de tesut
815201	operator la masini de tricotat rectiliniu
815126	prelucrator deseuri gogosi de matase naturala
815125	finisor fire de matase naturala
815124	înnodator fire de matase naturala
815123	prelucrator fire de matase din gogosi (filator)
815122	pregatitor gogosi de matase (fierbator)
815121	disponent în filaturi
815120	cilindror în filaturi
815119	curatitor-slefuitor garnituri carde
815118	montator la lipit ace
815117	formator manusi fibre liberiene
815116	operator masini puitoare
815115	zdrobitor si uleiator textile
815114	pieptanator
815113	laminator benzi din fibre
815112	cardator
815111	pregatitor amestecuri în filaturi
815110	scuturator
815109	carbonizator textile
815108	destramator
815107	lucrator în bataje (batator)
815106	scuturator in si cânepa
815105	înnobilator in si cânepa
815104	melitator in si cânepa
815103	topitor in si cânepa
815102	decuscutor
815101	decapsulator
814302	operator la masina de laminat
814301	cartonagist
814210	operator masini de termoformatare
814209	operator mase plastice
814208	operator sudare tevi si fitinguri din polietilena de înalta densitate PEHD
814207	operator la confectionarea discurilor fonografice
814206	creator, modelier mase plastice
814205	finisor-asamblator obiecte din mase plastice
814204	presator mase plastice
814203	operator la prelucrarea maselor plastice
814202	valtar calandru mase plastice
814201	preparator mase plastice
814130	operator fabricarea si prelucrarea polimerilor
814129	preparator placi de etansare comprimate
814128	pregatitor pentru încaltaminte si articole tehnice din cauciuc
814127	croitor pentru încaltaminte si articole tehnice din cauciuc
814126	conditioner-finisor produse din cauciuc
814125	presator-formator materiale stratificate, pregnator prize tehnice si banda izolatoare
814124	masinist la confectionarea foliilor de cauciuc electroizolante
814123	masinist la confectionarea materialelor electroizolante stratificate (mica)
814122	masinist la confectionarea materialelor electroizolante impregnate
814121	valtar cauciuc electroizolant
814120	preparator cauciuc electroizolant
814119	vulcanizator la autoclava
814118	vulcanizator piese din cauciuc la prese
814117	cusator piese la încaltaminte din cauciuc
814116	stantator piese pentru încaltaminte din piele si cauciuc
814115	profilator produse din cauciuc
814114	impregnator produse din cauciuc
814113	dozator prelucrare cauciuc
814112	rafinator regenerare cauciuc
814111	devulcanizator regenerare cauciuc
814110	pregatitor regenerare cauciuc
814109	calandror la finisarea cauciucului
814108	finisor încaltaminte si articole tehnice din cauciuc
814107	confectioner garnituri de etansare din cauciuc
814106	operator la prelucrarea cauciucului
814105	finisor-reparator de produse industriale din cauciuc
814104	vulcanizator de produse industriale din cauciuc
814103	confectioner de produse industriale din cauciuc
814102	pregnator prize tehnice si banda izolatoare
814101	preparator la confectionarea produselor industriale din cauciuc
813208	operator la fabricarea filmelor fotografice
813207	pregatitor hârtie fotosensibila
813206	retusor clisee
813205	montator filme
813204	fotoreproducator
813203	fotopoligraf
813202	fotocopist
813201	fotoceramist
813155	operator la fabricarea altor produse chimice
813154	operator la producerea sodei si produselor clorosodice
813153	delaborator munitie
813152	pregatitor, completator de echipamente tehnice si SDV-uri
813151	operator la pregatirea, conservarea si ambalarea armamentului si munitiei
